Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N)
16.579999923706055,0.1433120220899582,-12.288735389709473,0.18911851942539215,-2.4994730949401855
16.584999084472656,0.14562207460403442,-12.449782371520996,0.1985345482826233,-2.5289413928985596
16.59000015258789,0.14581520855426788,-12.610109329223633,0.2076149880886078,-2.5576815605163574
16.594999313354492,0.14545221626758575,-12.766684532165527,0.21596743166446686,-2.584578275680542
16.600000381469727,0.1447514295578003,-12.916086196899414,0.21889528632164001,-2.610363245010376
16.604999542236328,0.14508019387722015,-13.058104515075684,0.22552388906478882,-2.63614821434021
16.610000610351562,0.1461469978094101,-13.190289497375488,0.23148950934410095,-2.6611974239349365
16.614999771118164,0.1444467306137085,-13.314653396606445,0.23591484129428864,-2.6844029426574707
16.6200008392334,0.14227944612503052,-13.431336402893066,0.2393377423286438,-2.7072436809539795
16.625,0.14205072820186615,-13.543214797973633,0.2433759868144989,-2.730445623397827
16.6299991607666,0.14224275946617126,-13.65031623840332,0.24612824618816376,-2.752546787261963
16.635000228881836,0.14258262515068054,-13.748725891113281,0.24704867601394653,-2.773158073425293
16.639999389648438,0.14446943998336792,-13.835856437683105,0.24859704077243805,-2.7915754318237305
16.645000457763672,0.14545221626758575,-13.918974876403809,0.25140419602394104,-2.809244394302368
16.649999618530273,0.1457875669002533,-13.9948091506958,0.2515864968299866,-2.8250701427459717
16.655000686645508,0.14465177059173584,-14.062162399291992,0.2499864101409912,-2.8398044109344482
16.65999984741211,0.14484448730945587,-14.125737190246582,0.24838629364967346,-2.854538679122925
16.665000915527344,0.14578303694725037,-14.185140609741211,0.24777860939502716,-2.867760181427002
16.670000076293945,0.144999161362648,-14.2361421585083,0.24777860939502716,-2.8780524730682373
16.674999237060547,0.14634929597377777,-14.275232315063477,0.2474507987499237,-2.8865013122558594
16.68000030517578,0.1495497226715088,-14.307332038879395,0.2472437024116516,-2.894630193710327
16.684999465942383,0.15145090222358704,-14.333229064941406,0.2449702024459839,-2.9030754566192627
16.690000534057617,0.15381090342998505,-14.350378036499023,0.24059005081653595,-2.9089114665985107
16.69499969482422,0.15411518514156342,-14.358354568481445,0.23707681894302368,-2.912594795227051
16.700000762939453,0.15443669259548187,-14.359758377075195,0.23473025858402252,-2.91550874710083
16.704999923706055,0.15539933741092682,-14.351456642150879,0.23132173717021942,-2.9158079624176025
16.709999084472656,0.15561546385288239,-14.335999488830566,0.22864104807376862,-2.9147393703460693
16.71500015258789,0.15782587230205536,-14.314423561096191,0.2283039391040802,-2.9139645099639893
16.719999313354492,0.1612454205751419,-14.2869873046875,0.2272660732269287,-2.9113457202911377
16.725000381469727,0.16163098812103271,-14.250792503356934,0.22388163208961487,-2.906883478164673
16.729999542236328,0.16096454858779907,-14.208727836608887,0.2211708426475525,-2.899796724319458
16.735000610351562,0.1612742841243744,-14.15970230102539,0.21957072615623474,-2.8913702964782715
16.739999771118164,0.16334891319274902,-14.103952407836914,0.21981996297836304,-2.88321852684021
16.7450008392334,0.16440217196941376,-14.042558670043945,0.2204999178647995,-2.873223304748535
16.75,0.16203738749027252,-13.976009368896484,0.22355204820632935,-2.8621726036071777
16.7549991607666,0.15951846539974213,-13.902294158935547,0.22797463834285736,-2.849541425704956
16.760000228881836,0.1576160490512848,-13.821014404296875,0.2280818074941635,-2.8348076343536377
16.764999389648438,0.15427957475185394,-13.732885360717773,0.2266177386045456,-2.819279670715332
16.770000457763672,0.15240603685379028,-13.639630317687988,0.22787950932979584,-2.801908016204834
16.774999618530273,0.1521083265542984,-13.538609504699707,0.22816486656665802,-2.784287691116333
16.780000686645508,0.1503901183605194,-13.428361892700195,0.22923040390014648,-2.7661125659942627
16.78499984741211,0.145070880651474,-13.315343856811523,0.23125192523002625,-2.745051622390747
16.790000915527344,0.14024192094802856,-13.199836730957031,0.23261182010173798,-2.722147226333618
