Time (s),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
8.5649995803833,-1.1203573942184448,-0.04935341700911522,-0.05372820049524307,3.0224685668945312
8.569999694824219,-1.1221991777420044,-0.049520645290613174,-0.036948733031749725,3.0122647285461426
8.574999809265137,-1.1267545223236084,-0.04951144754886627,-0.01574370078742504,2.993987560272217
8.579999923706055,-1.1295623779296875,-0.049455706030130386,0.00662892684340477,2.9735803604125977
8.585000038146973,-1.1341252326965332,-0.04931100085377693,0.020075101405382156,2.9694576263427734
8.59000015258789,-1.1410129070281982,-0.04914376884698868,0.03126141428947449,2.9694573879241943
8.595000267028809,-1.1483798027038574,-0.048841968178749084,0.046948619186878204,2.98587965965271
8.600000381469727,-1.1557466983795166,-0.04850750416517258,0.06372808665037155,3.006287097930908
8.604999542236328,-1.1658498048782349,-0.04808258265256882,0.07596900314092636,3.0184147357940674
8.609999656677246,-1.1769002676010132,-0.04763663560152054,0.08715531975030899,3.028618812561035
8.614999771118164,-1.1865791082382202,-0.04705386608839035,0.10291785001754761,2.9845571517944336
8.619999885559082,-1.1957879066467285,-0.046440690755844116,0.11969732493162155,2.928436517715454
8.625,-1.2104984521865845,-0.04573554918169975,0.13186290860176086,2.889150619506836
8.630000114440918,-1.2243196964263916,-0.04501088708639145,0.1430492252111435,2.8534374237060547
8.635000228881836,-1.2385910749435425,-0.044147148728370667,0.1588870882987976,2.8177244663238525
8.640000343322754,-1.25332510471344,-0.04325525462627411,0.17566655576229095,2.7820117473602295
8.645000457763672,-1.269442081451416,-0.04222315922379494,0.1924460232257843,2.729189157485962
8.649999618530273,-1.2846331596374512,-0.041164036840200424,0.20922549068927765,2.6730685234069824
8.654999732971191,-1.3007538318634033,-0.03996358811855316,0.226004958152771,2.604012966156006
8.65999984741211,-1.3201065063476562,-0.03873723745346069,0.24278444051742554,2.5325870513916016
8.664999961853027,-1.3403657674789429,-0.03746340051293373,0.25003480911254883,2.4524688720703125
8.670000076293945,-1.3592329025268555,-0.03618130460381508,0.25562795996665955,2.3708388805389404
8.675000190734863,-1.379044532775879,-0.03475562855601311,0.2708255350589752,2.2848286628723145
8.680000305175781,-1.3993037939071655,-0.0333063043653965,0.28760501742362976,2.198096752166748
8.6850004196167,-1.4209609031677246,-0.03180874511599541,0.29470473527908325,2.0892910957336426
8.6899995803833,-1.4430620670318604,-0.030303679406642914,0.30029791593551636,1.9770500659942627
8.694999694824219,-1.463761568069458,-0.028701389208436012,0.31076857447624207,1.8292163610458374
8.699999809265137,-1.4868276119232178,-0.0270848348736763,0.3219548761844635,1.676160454750061
8.704999923706055,-1.509365200996399,-0.025419294834136963,0.3282260000705719,1.550005316734314
8.710000038146973,-1.5328733921051025,-0.023746997117996216,0.3338191509246826,1.4275604486465454
8.71500015258789,-1.5568162202835083,-0.02197597734630108,0.3443652093410492,1.318669080734253
8.720000267028809,-1.579348087310791,-0.020192192867398262,0.355551540851593,1.2115299701690674
8.725000381469727,-1.6042743921279907,-0.01835867203772068,0.3617473244667053,1.0770777463912964
8.729999542236328,-1.627229928970337,-0.01651914417743683,0.36734047532081604,0.9393272995948792
8.734999656677246,-1.6493310928344727,-0.014629505574703217,0.37293362617492676,0.8336825966835022
8.739999771118164,-1.6756868362426758,-0.012734235264360905,0.37852680683135986,0.7316452860832214
8.744999885559082,-1.7004729509353638,-0.010889452882111073,0.37398824095726013,0.5972618460655212
8.75,-1.7244157791137695,-0.009049925953149796,0.368395060300827,0.45951148867607117
8.755000114440918,-1.7469347715377808,-0.0071595353074371815,0.37300893664360046,0.32641634345054626
8.760000228881836,-1.7704615592956543,-0.005264264531433582,0.3786020874977112,0.19376783072948456
8.765000343322754,-1.79440438747406,-0.003368993988260627,0.37905406951904297,0.02829216606914997
8.770000457763672,-1.8169177770614624,-0.0014737234450876713,0.37905406951904297,-0.1400693953037262
8.774999618530273,-1.8404501676559448,0.000421546574216336,0.37905406951904297,-0.29898306727409363
8.779999732971191,-1.8672592639923096,0.002316816709935665,0.37905406951904297,-0.4571409225463867
8.78499984741211,-1.8905805349349976,0.004212087020277977,0.37905406951904297,-0.5677157044410706
8.789999961853027,-1.9126816987991333,0.006107357796281576,0.37905406951904297,-0.6748548746109009
8.795000076293945,-1.9362214803695679,0.007950262166559696,0.3737998902797699,-0.7772013545036316
8.800000190734863,-1.9601643085479736,0.009789789095520973,0.3682067096233368,-0.8792386651039124
8.805000305175781,-1.9812220335006714,0.01157657615840435,0.36261358857154846,-1.0198920965194702
8.8100004196167,-2.0043702125549316,0.013360359705984592,0.35702043771743774,-1.162744402885437
8.8149995803833,-2.026866912841797,0.015037912875413895,0.3460977375507355,-1.28128981590271
8.819999694824219,-2.0504159927368164,0.01671021059155464,0.33491143584251404,-1.3986327648162842
8.824999809265137,-2.072908639907837,0.01827552542090416,0.3237251043319702,-1.5306627750396729
8.829999923706055,-2.092106342315674,0.019836336374282837,0.3125388026237488,-1.663311243057251
8.835000038146973,-2.1119773387908936,0.021397147327661514,0.3121621608734131,-1.7713093757629395
8.84000015258789,-2.130781412124634,0.02295795828104019,0.3121621608734131,-1.8784486055374146
8.845000267028809,-2.1491990089416504,0.02441028505563736,0.30127716064453125,-1.9508365392684937
8.850000381469727,-2.167616367340088,0.025859609246253967,0.2900908589363098,-2.0222625732421875
8.854999542236328,-2.1816508769989014,0.027199698612093925,0.2789045572280884,-2.0786924362182617
8.859999656677246,-2.1974689960479736,0.028537537902593613,0.26771822571754456,-2.1348133087158203
8.864999771118164,-2.2111148834228516,0.02976538985967636,0.2565319240093231,-2.1708011627197266
8.869999885559082,-2.219607353210449,0.03099173866212368,0.2453456073999405,-2.2065141201019287
8.875,-2.231379985809326,0.03205198794603348,0.2286038100719452,-2.272632122039795
8.880000114440918,-2.2428019046783447,0.03311111032962799,0.21182434260845184,-2.338956356048584
8.885000228881836,-2.253852367401123,0.034058745950460434,0.2006380259990692,-2.405280590057373
8.890000343322754,-2.2634286880493164,0.035005632787942886,0.18945172429084778,-2.4713642597198486
8.895000457763672,-2.2726376056671143,0.03584178164601326,0.17826540768146515,-2.5019752979278564
8.899999618530273,-2.2833242416381836,0.03667642921209335,0.16707909107208252,-2.5323805809020996
8.904999732971191,-2.28993558883667,0.03740108758211136,0.1558927744626999,-2.5476861000061035
8.90999984741211,-2.2954609394073486,0.03812349587678909,0.14470645785331726,-2.5631978511810303
8.914999961853027,-2.302469253540039,0.03873667120933533,0.13352014124393463,-2.588707208633423
8.920000076293945,-2.3083510398864746,0.03934534266591072,0.1221831664443016,-2.614353895187378
8.925000190734863,-2.3123891353607178,0.039791289716959,0.10540369898080826,-2.644965171813965
8.930000305175781,-2.3145837783813477,0.04023348167538643,0.08881255984306335,-2.676607131958008
8.9350004196167,-2.3164255619049072,0.04056794196367264,0.07762624323368073,-2.7378296852111816
8.9399995803833,-2.316774368286133,0.04089564457535744,0.0662139356136322,-2.7980213165283203
8.944999694824219,-2.316774368286133,0.04106287285685539,0.049434464424848557,-2.8337345123291016
8.949999809265137,-2.316774368286133,0.041224848479032516,0.032918646931648254,-2.8682448863983154
8.954999923706055,-2.3152759075164795,0.0412805937230587,0.021732334047555923,-2.878448724746704
8.960000038146973,-2.311933994293213,0.041327327489852905,0.010244705714285374,-2.8886525630950928
8.96500015258789,-2.308250665664673,0.04121583700180054,-0.006534765474498272,-2.8988559246063232
8.970000267028809,-2.3015592098236084,0.04109421744942665,-0.023314235731959343,-2.908750295639038
8.975000381469727,-2.29419207572937,0.04081549867987633,-0.04009370505809784,-2.9138522148132324
8.979999542236328,-2.286825180053711,0.04052552208304405,-0.056873172521591187,-2.9186105728149414
8.984999656677246,-2.2794578075408936,0.04007957875728607,-0.07365264743566513,-2.9186105728149414
8.989999771118164,-2.2705795764923096,0.0396253764629364,-0.09001781046390533,-2.9163429737091064
8.994999885559082,-2.259857416152954,0.03906794637441635,-0.10120411962270737,-2.8857319355010986
9,-2.248806953430176,0.03850150480866432,-0.1123904287815094,-2.8530595302581787
9.005000114440918,-2.2377564907073975,0.037832584232091904,-0.12357674539089203,-2.796938896179199
9.010000228881836,-2.225187301635742,0.03714902326464653,-0.1352526992559433,-2.7367987632751465
9.015000343322754,-2.215336322784424,0.03631287440657616,-0.15203216671943665,-2.6347615718841553
9.020000457763672,-2.2015597820281982,0.03546096011996269,-0.16881163418293,-2.5341670513153076
9.024999618530273,-2.18377685546875,0.03445758298039436,-0.18559110164642334,-2.4474356174468994
9.029999732971191,-2.1684117317199707,0.033442940562963486,-0.20180559158325195,-2.362765312194824
9.03499984741211,-2.1521496772766113,0.03232807666063309,-0.21299192309379578,-2.296440839767456
9.039999961853027,-2.135573625564575,0.031201202422380447,-0.2241782397031784,-2.230116605758667
9.045000076293945,-2.118997812271118,0.02997484989464283,-0.23536454141139984,-2.163792371749878
9.050000190734863,-2.1024222373962402,0.028742117807269096,-0.24591054022312164,-2.0951316356658936
9.055000305175781,-2.085846424102783,0.027460021898150444,-0.25150370597839355,-2.0083999633789062
9.0600004196167,-2.0677332878112793,0.02617117203772068,-0.2570968568325043,-1.9167211055755615
9.0649995803833,-2.0508549213409424,0.024833332747220993,-0.262690007686615,-1.7891745567321777
9.069999694824219,-2.0342791080474854,0.023481231182813644,-0.26899880170822144,-1.6648917198181152
9.074999809265137,-2.0146172046661377,0.022031906992197037,-0.28018510341644287,-1.562854290008545
9.079999923706055,-1.9959027767181396,0.02056756801903248,-0.2913714349269867,-1.462191104888916
9.085000038146973,-1.9759385585784912,0.01900675520300865,-0.3025577664375305,-1.370357632637024
9.09000015258789,-1.9541304111480713,0.01743805967271328,-0.3129531145095825,-1.277802586555481
9.095000267028809,-1.932029366493225,0.015821507200598717,-0.31854626536369324,-1.180867075920105
9.100000381469727,-1.908375859260559,0.014196696691215038,-0.32413941621780396,-1.0884666442871094
9.104999542236328,-1.8844331502914429,0.012524399906396866,-0.3297325670719147,-1.0221425294876099
9.109999656677246,-1.862046480178833,0.010852103121578693,-0.33445945382118225,-0.9487066268920898
9.114999771118164,-1.841503381729126,0.009179805405437946,-0.33445945382118225,-0.8364655375480652
9.119999885559082,-1.8181242942810059,0.007498499006032944,-0.33536338806152344,-0.7184526920318604
9.125,-1.7957432270050049,0.005770457908511162,-0.34095656871795654,-0.5704985857009888
9.130000114440918,-1.7736420631408691,0.004042417276650667,-0.345608115196228,-0.4276978373527527
9.135000228881836,-1.7515411376953125,0.0023143768776208162,-0.345608115196228,-0.31035491824150085
9.140000343322754,-1.7278727293014526,0.0005863364785909653,-0.345608115196228,-0.1956917643547058
9.145000457763672,-1.7054991722106934,-0.0011417040368542075,-0.345608115196228,-0.09365446120500565
9.149999618530273,-1.684969186782837,-0.0028798796702176332,-0.34662505984306335,0.00838285032659769
9.154999732971191,-1.6631368398666382,-0.004663663450628519,-0.3522182106971741,0.11042017489671707
9.15999984741211,-1.6394612789154053,-0.0064369370229542255,-0.35570216178894043,0.2153434008359909
9.164999961853027,-1.6186716556549072,-0.00816497765481472,-0.3501090109348297,0.33268630504608154
9.170000076293945,-1.5952552556991577,-0.009882132522761822,-0.344515860080719,0.4510255455970764
9.175000190734863,-1.572892665863037,-0.011554430238902569,-0.3389226794242859,0.5734703540802002
9.180000305175781,-1.5523737668991089,-0.013226727023720741,-0.33445945382118225,0.6897310614585876
9.1850004196167,-1.533698558807373,-0.014899023808538914,-0.33445942401885986,0.7815645933151245
9.1899995803833,-1.5136950016021729,-0.01655968464910984,-0.33329182863235474,0.876593291759491
9.194999694824219,-1.4918479919433594,-0.018176238983869553,-0.327698677778244,0.9837324619293213
9.199999809265137,-1.4729262590408325,-0.019780781120061874,-0.3221055269241333,1.0919710397720337
9.204999923706055,-1.4545087814331055,-0.021341592073440552,-0.3165123760700226,1.2042121887207031
9.210000038146973,-1.4360911846160889,-0.022877627983689308,-0.30967631936073303,1.3085169792175293
9.21500015258789,-1.4192689657211304,-0.024326952174305916,-0.2984900176525116,1.3850449323654175
9.220000267028809,-1.4026930332183838,-0.025763513520359993,-0.28858429193496704,1.4697495698928833
9.225000381469727,-1.3861173391342163,-0.027157092466950417,-0.28299111127853394,1.5819905996322632
9.229999542236328,-1.3695415258407593,-0.028537536039948463,-0.2773979604244232,1.694231629371643
9.234999656677246,-1.3561710119247437,-0.02987537533044815,-0.2718048095703125,1.806472659111023
9.239999771118164,-1.3416742086410522,-0.031186185777187347,-0.2648557424545288,1.9100561141967773
9.244999885559082,-1.3269401788711548,-0.032412536442279816,-0.2536694407463074,1.9865840673446655
9.25,-1.313814401626587,-0.03361111134290695,-0.24248312413692474,2.059298515319824
9.255000114440918,-1.300922155380249,-0.03472597524523735,-0.2312968224287033,2.120521068572998
9.260000228881836,-1.2880299091339111,-0.035812314599752426,-0.22011050581932068,2.1765213012695312
9.265000343322754,-1.2783652544021606,-0.03681569546461105,-0.20892418920993805,2.2173361778259277
9.270000457763672,-1.2691564559936523,-0.037775155156850815,-0.1962689608335495,2.259490966796875
9.274999618530273,-1.259947657585144,-0.03861130401492119,-0.17948949337005615,2.3054075241088867
9.279999732971191,-1.2507387399673462,-0.03941741958260536,-0.16421659290790558,2.3513243198394775
9.28499984741211,-1.2447726726531982,-0.040142081677913666,-0.15303027629852295,2.3972413539886475
9.289999961853027,-1.239247441291809,-0.04083595797419548,-0.1418439745903015,2.433298110961914
9.295000076293945,-1.23372220993042,-0.041449133306741714,-0.13065765798091888,2.4435017108917236
9.300000190734863,-1.2281969785690308,-0.04203077778220177,-0.11947133392095566,2.4580342769622803
9.305000305175781,-1.224300503730774,-0.04253246635198593,-0.10828502476215363,2.483543634414673
9.3100004196167,-1.217355728149414,-0.04300187528133392,-0.09709871560335159,2.5046212673187256
9.3149995803833,-1.2132536172866821,-0.04339207336306572,-0.08591239899396896,2.514824867248535
9.319999694824219,-1.2112045288085938,-0.04374924302101135,-0.07472608238458633,2.5280518531799316
9.324999809265137,-1.2093628644943237,-0.044027961790561676,-0.0635397657752037,2.548459053039551
9.329999923706055,-1.209159016609192,-0.04425600543618202,-0.05065855756402016,2.571958541870117
9.335000038146973,-1.209159016609192,-0.04436748847365379,-0.03387908637523651,2.602569818496704
9.34000015258789,-1.2124426364898682,-0.04444444179534912,-0.01883217878639698,2.6284399032592773
9.345000267028809,-1.2161263227462769,-0.04444444552063942,-0.007645864970982075,2.6437454223632812
9.350000381469727,-1.2198097705841064,-0.04439151659607887,0.005310674197971821,2.662280559539795
9.354999542236328,-1.2251406908035278,-0.04422428831458092,0.022090144455432892,2.6877899169921875
9.359999656677246,-1.230665922164917,-0.04402102530002594,0.037061724811792374,2.7149484157562256
9.364999771118164,-1.237842321395874,-0.043742310255765915,0.048248037695884705,2.7455596923828125
9.369999885559082,-1.2452092170715332,-0.043408412486314774,0.06127990409731865,2.7677536010742188
9.375,-1.2525763511657715,-0.042962465435266495,0.0780593752861023,2.772855281829834
9.380000114440918,-1.2599432468414307,-0.042478982359170914,0.09295562654733658,2.7693681716918945
9.385000228881836,-1.270627498626709,-0.041921548545360565,0.10414194315671921,2.7489609718322754
9.390000343322754,-1.2800174951553345,-0.041325826197862625,0.11532825231552124,2.7215447425842285
9.395000457763672,-1.2908886671066284,-0.04065690562129021,0.12651456892490387,2.680729866027832
9.399999618530273,-1.3036034107208252,-0.039929427206516266,0.13965941965579987,2.6256227493286133
9.404999732971191,-1.316495656967163,-0.03909327834844589,0.1564388871192932,2.5439929962158203
9.40999984741211,-1.329387903213501,-0.03819744661450386,0.17321835458278656,2.4605422019958496
9.414999961853027,-1.3439499139785767,-0.03719406947493553,0.1899978220462799,2.3738107681274414
9.420000076293945,-1.3620271682739258,-0.03615015000104904,0.2047434151172638,2.287078857421875
9.425000190734863,-1.3821182250976562,-0.03503528609871864,0.21592973172664642,2.2003471851348877
9.430000305175781,-1.3956762552261353,-0.033879127353429794,0.22711604833602905,2.115504741668701
9.4350004196167,-1.411922812461853,-0.032652776688337326,0.2383023500442505,2.033874988555908
9.4399995803833,-1.4284987449645996,-0.03140540421009064,0.24737945199012756,1.9368537664413452
9.444999694824219,-1.4467554092407227,-0.030123310163617134,0.25297263264656067,1.8144090175628662
9.449999809265137,-1.4651730060577393,-0.028819818049669266,0.2585657835006714,1.6900060176849365
9.454999923706055,-1.4819059371948242,-0.027481980621814728,0.2641589343547821,1.5624593496322632
9.460000038146973,-1.5001683235168457,-0.02612237073481083,0.2697520852088928,1.4369053840637207
9.46500015258789,-1.516897439956665,-0.024728791788220406,0.27534523606300354,1.3144606351852417
9.470000267028809,-1.533473253250122,-0.02329091727733612,0.28316059708595276,1.2001237869262695
9.475000381469727,-1.5534332990646362,-0.021785849705338478,0.2943468987941742,1.0980864763259888
9.479999542236328,-1.5736925601959229,-0.020258259028196335,0.30327335000038147,0.9981104731559753
9.484999656677246,-1.5939518213272095,-0.018697446212172508,0.3088665306568146,0.9011750221252441
9.489999771118164,-1.6142112016677856,-0.01713663525879383,0.3121621608734131,0.8105267882347107
9.494999885559082,-1.6327708959579468,-0.015575825236737728,0.3121621310710907,0.7288969159126282
9.5,-1.6545913219451904,-0.013991741463541985,0.31449732184410095,0.6451369524002075
9.505000114440918,-1.6766923666000366,-0.012375188060104847,0.32009047269821167,0.5584052801132202
9.510000228881836,-1.6953833103179932,-0.01075863465666771,0.3233107924461365,0.46085137128829956
9.515000343322754,-1.7155077457427979,-0.009142080321907997,0.3233107924461365,0.3486103117465973
9.520000457763672,-1.7357670068740845,-0.007525525521486998,0.3233107924461365,0.2297729104757309
9.524999618530273,-1.7577370405197144,-0.005908971652388573,0.3233107924461365,0.10222627967596054
9.529999732971191,-1.778125524520874,-0.0042924173176288605,0.3233107924461365,-0.014154667966067791
9.53499984741211,-1.7983849048614502,-0.0026758634485304356,0.3233107924461365,-0.11619199812412262
9.539999961853027,-1.8186440467834473,-0.001059309346601367,0.3233107924461365,-0.2250318080186844
9.545000076293945,-1.8389033079147339,0.0005572447553277016,0.3233107924461365,-0.342374712228775
9.550000190734863,-1.8574424982070923,0.00217379885725677,0.3233107924461365,-0.4620194733142853
9.555000305175781,-1.8775821924209595,0.003790352726355195,0.3233107924461365,-0.5844642519950867
9.5600004196167,-1.8961176872253418,0.005381381139159203,0.3207496106624603,-0.6928917765617371
9.5649995803833,-1.9162609577178955,0.00694219209253788,0.3151564598083496,-0.7847253680229187
9.569999694824219,-1.9347927570343018,0.008477102033793926,0.3095633089542389,-0.8836706280708313
9.574999809265137,-1.9532103538513184,0.009982169605791569,0.3039701581001282,-0.9908097982406616
9.579999923706055,-1.9698965549468994,0.01146096084266901,0.29837700724601746,-1.1003538370132446
9.585000038146973,-1.9899386167526245,0.012910285033285618,0.29278385639190674,-1.212594985961914
9.59000015258789,-2.008462905883789,0.014306305907666683,0.28451651334762573,-1.3223966360092163
9.595000267028809,-2.025143623352051,0.015644144266843796,0.2733302116394043,-1.4295358657836914
9.600000381469727,-2.0417191982269287,0.016954954713582993,0.2648557126522064,-1.5292540788650513
9.604999542236328,-2.0600357055664062,0.018237048760056496,0.2592625617980957,-1.621087670326233
9.609999656677246,-2.0749683380126953,0.019491739571094513,0.253669410943985,-1.7003813982009888
9.614999771118164,-2.087958335876465,0.02071809023618698,0.24807627499103546,-1.7667055130004883
9.619999885559082,-2.1008505821228027,0.021888887509703636,0.2396959662437439,-1.8304874897003174
9.625,-2.1154911518096924,0.023003753274679184,0.22850966453552246,-1.8917100429534912
9.630000114440918,-2.1284751892089844,0.02406231313943863,0.21732334792613983,-1.9477790594100952
9.635000228881836,-2.141367197036743,0.025065692141652107,0.2061370313167572,-1.9987976551055908
9.640000343322754,-2.152506113052368,0.026012012735009193,0.19495071470737457,-2.041983127593994
9.645000457763672,-2.1635565757751465,0.026903904974460602,0.18376439809799194,-2.0776963233947754
9.649999618530273,-2.1710925102233887,0.027737988159060478,0.1725780963897705,-2.1187002658843994
